data_sequence,method,byte_size,encode_speed,decode_speed,quantization_precision,gigabyte_size
quad_easy,draco,,9,6,18,3.6
quad_easy,draco,,9,0,12,3.0
quad_easy,draco,,9,6,16,3.3
quad_easy,draco,,9,3,18,3.6
quad_easy,draco,,6,6,16,3.2
quad_easy,draco,,3,9,14,3.1
quad_easy,draco,,9,0,16,3.3
quad_easy,draco,,3,3,14,2.4
quad_easy,draco,,6,6,12,2.9
quad_easy,draco,,6,3,20,3.8
quad_easy,draco,,3,9,12,3.0
quad_easy,draco,,9,9,12,3.0
quad_easy,draco,,6,3,16,3.2
quad_easy,draco,,9,3,12,3.0
quad_easy,draco,,9,6,12,3.0
quad_easy,draco,,9,0,18,3.6
quad_easy,draco,,0,6,20,3.8
quad_easy,draco,,9,9,16,3.3
quad_easy,draco,,3,3,18,2.7
quad_easy,draco,,6,9,12,3.0
quad_easy,draco,,3,6,14,3.0
quad_easy,draco,,0,0,12,2.2
quad_easy,draco,,6,9,18,3.6
quad_easy,draco,,3,3,20,2.8
quad_easy,draco,,6,6,14,3.0
quad_easy,draco,,3,9,16,3.3
quad_easy,draco,,3,0,20,2.8
quad_easy,draco,,3,6,18,3.5
quad_easy,draco,,0,9,20,3.9
quad_easy,draco,,0,0,16,2.5
quad_easy,draco,,6,9,14,3.1
quad_easy,draco,,3,6,12,2.9
quad_easy,draco,,0,0,14,2.4
quad_easy,draco,,9,0,14,3.1
quad_easy,draco,,6,0,18,3.5
quad_easy,draco,,0,9,16,3.3
quad_easy,draco,,0,0,18,2.7
quad_easy,draco,,6,9,16,3.3
quad_easy,draco,,9,0,20,3.9
quad_easy,draco,,0,6,18,3.5
quad_easy,draco,,9,3,16,3.3
quad_easy,draco,,6,9,20,3.9
quad_easy,draco,,6,6,18,3.5
quad_easy,draco,,9,3,20,3.9
quad_easy,draco,,6,3,14,3.0
quad_easy,draco,,0,3,12,2.2
quad_easy,draco,,0,6,14,3.0
quad_easy,draco,,6,6,20,3.8
quad_easy,draco,,3,0,14,2.4
quad_easy,draco,,0,3,18,2.7
quad_easy,draco,,9,9,18,3.6
quad_easy,draco,,6,3,18,3.5
quad_easy,draco,,3,0,12,2.2
quad_easy,draco,,6,0,14,3.0
quad_easy,draco,,9,9,20,3.9
quad_easy,draco,,6,3,12,2.9
quad_easy,draco,,3,0,18,2.7
quad_easy,draco,,0,3,14,2.4
quad_easy,draco,,6,0,16,3.2
quad_easy,draco,,0,6,12,2.9
quad_easy,draco,,6,0,20,3.8
quad_easy,draco,,9,6,14,3.1
quad_easy,draco,,3,9,20,3.9
quad_easy,draco,,0,3,16,2.5
quad_easy,draco,,0,0,20,2.8
quad_easy,draco,,9,9,14,3.1
quad_easy,draco,,0,3,20,2.8
quad_easy,draco,,0,9,14,3.1
quad_easy,draco,,3,3,16,2.5
quad_easy,draco,,6,0,12,2.9
quad_easy,draco,,0,6,16,3.2
quad_easy,draco,,0,9,18,3.6
quad_easy,draco,,3,6,20,3.8
quad_easy,draco,,3,3,12,2.2
quad_easy,draco,,0,9,12,3.0
quad_easy,draco,,3,0,16,2.5
park,draco,,3,6,16,24.4
park,draco,,9,6,20,29.9
park,cloudini,,,,0.4,24.5
park,draco,,9,3,14,23.3
park,draco,,3,9,18,27.2
park,draco,,9,6,18,27.2
park,draco,,9,0,12,22.3
park,draco,,9,6,16,24.9
park,draco,,9,3,18,27.2
park,draco,,6,6,16,24.4
park,draco,,3,9,14,23.3
park,draco,,9,0,16,24.9
park,draco,,3,3,14,18.4
park,draco,,10,10,7,21.7
park,draco,,6,6,12,21.7
park,draco,,6,3,20,29.5
park,draco,,10,10,11,22.0
park,draco,,3,9,12,22.3
park,draco,,9,9,12,22.3
park,draco,,6,3,16,24.4
park,draco,,10,10,9,21.8
park,draco,,9,3,12,22.3
park,draco,,9,6,12,22.3
park,draco,,9,0,18,27.2
park,draco,,0,6,20,29.5
park,draco,,9,9,16,24.9
park,draco,,3,3,18,20.6
park,cloudini,,,,0.3,24.6
park,draco,,6,9,12,22.3
park,draco,,3,6,14,22.7
park,cloudini,,,,0.8,24.2
park,draco,,0,0,12,17.3
park,draco,,6,9,18,27.2
park,draco,,3,3,20,21.6
park,draco,,6,6,14,22.7
park,draco,,3,9,16,24.9
park,draco,,3,0,20,21.6
park,draco,,3,6,18,26.7
park,draco,,0,9,20,29.9
park,draco,,0,0,16,19.5
park,draco,,6,9,14,23.3
park,draco,,3,6,12,21.7
park,draco,,0,0,14,18.4
park,draco,,9,0,14,23.3
park,draco,,6,0,18,26.7
park,draco,,0,9,16,24.9
park,draco,,0,0,18,20.6
park,draco,,6,9,16,24.9
park,draco,,9,0,20,29.9
park,draco,,0,6,18,26.7
park,cloudini,,,,0.6,24.3
park,draco,,9,3,16,24.9
park,draco,,6,9,20,29.9
park,draco,,6,6,18,26.7
park,draco,,9,3,20,29.9
park,draco,,6,3,14,22.7
park,draco,,0,3,12,17.3
park,draco,,0,6,14,22.7
park,draco,,6,6,20,29.5
park,draco,,3,0,14,18.4
park,draco,,0,3,18,20.6
park,draco,,9,9,18,27.2
park,draco,,6,3,18,26.7
